X_wgs29 Y_wgs29
 604585 4165473
 603995 4165463
 604005 4165463
 604015 4165463
 604025 4165463
 604035 4165463
 604045 4165463
 604055 4165463
 604065 4165463
 604075 4165463
 604085 4165463
 604095 4165463
 604105 4165463
 604115 4165463
 604125 4165463
 604135 4165463
 604145 4165463
 604155 4165463
 604165 4165463
 604175 4165463
 604185 4165463
 604195 4165463
 604205 4165463
 604215 4165463
 604225 4165463
 604235 4165463
 604245 4165463
 604255 4165463
 604265 4165463
 604275 4165463
 604285 4165463
 604295 4165463
 604305 4165463
 604315 4165463
 604325 4165463
 604335 4165463
 604345 4165463
 604355 4165463
 604365 4165463
 604375 4165463
 604385 4165463
 604395 4165463
 604405 4165463
 604415 4165463
 604425 4165463
 604435 4165463
 604445 4165463
 604455 4165463
 604465 4165463
 604475 4165463
 604485 4165463
 604495 4165463
 604505 4165463
 604515 4165463
 604525 4165463
 604535 4165463
 604545 4165463
 604555 4165463
 604565 4165463
 604575 4165463
 604585 4165463
 603995 4165453
 604005 4165453
 604015 4165453
 604025 4165453
 604035 4165453
 604045 4165453
 604055 4165453
 604065 4165453
 604075 4165453
 604085 4165453
 604095 4165453
 604105 4165453
 604115 4165453
 604125 4165453
 604135 4165453
 604145 4165453
 604155 4165453
 604165 4165453
 604175 4165453
 604185 4165453
 604195 4165453
 604205 4165453
 604215 4165453
 604225 4165453
 604235 4165453
 604245 4165453
 604255 4165453
 604265 4165453
 604275 4165453
 604285 4165453
 604295 4165453
 604305 4165453
 604315 4165453
 604325 4165453
 604335 4165453
 604345 4165453
 604355 4165453
 604365 4165453
 604375 4165453
 604385 4165453
 604395 4165453
 604405 4165453
 604415 4165453
 604425 4165453
 604435 4165453
 604445 4165453
 604455 4165453
 604465 4165453
 604475 4165453
 604485 4165453
 604495 4165453
 604505 4165453
 604515 4165453
 604525 4165453
 604535 4165453
 604545 4165453
 604555 4165453
 604565 4165453
 604575 4165453
 604585 4165453
 603995 4165443
 604005 4165443
 604015 4165443
 604025 4165443
 604035 4165443
 604045 4165443
 604055 4165443
 604065 4165443
 604075 4165443
 604085 4165443
 604095 4165443
 604105 4165443
 604115 4165443
 604125 4165443
 604135 4165443
 604145 4165443
 604155 4165443
 604165 4165443
 604175 4165443
 604185 4165443
 604195 4165443
 604205 4165443
 604215 4165443
 604225 4165443
 604235 4165443
 604245 4165443
 604255 4165443
 604265 4165443
 604275 4165443
 604285 4165443
 604295 4165443
 604305 4165443
 604315 4165443
 604325 4165443
 604335 4165443
 604345 4165443
 604355 4165443
 604365 4165443
 604375 4165443
 604385 4165443
 604395 4165443
 604405 4165443
 604415 4165443
 604425 4165443
 604435 4165443
 604445 4165443
 604455 4165443
 604465 4165443
 604475 4165443
 604485 4165443
 604495 4165443
 604505 4165443
 604515 4165443
 604525 4165443
 604535 4165443
 604545 4165443
 604555 4165443
 604565 4165443
 604575 4165443
 604585 4165443
 603995 4165433
 604005 4165433
 604015 4165433
 604025 4165433
 604035 4165433
 604045 4165433
 604055 4165433
 604065 4165433
 604075 4165433
 604085 4165433
 604095 4165433
 604105 4165433
 604115 4165433
 604125 4165433
 604135 4165433
 604145 4165433
 604155 4165433
 604165 4165433
 604175 4165433
 604185 4165433
 604195 4165433
 604205 4165433
 604215 4165433
 604225 4165433
 604235 4165433
 604245 4165433
 604255 4165433
 604265 4165433
 604275 4165433
 604285 4165433
 604295 4165433
 604305 4165433
 604315 4165433
 604325 4165433
 604335 4165433
 604345 4165433
